Name,Regular Price,Sale Price,Rating,Reviews,Size,Description,Category,Image,Alcohol/Vol,Made In,Sugar Content,Varietal,By,Release Date,Lat,Lon,Savings
 La Vieille Ferme Rose Ventoux AOC,14.95,12.95,4.7,(10),  750 ml bottle ,"Grapes grown on the slopes of France's Mont Ventoux ripen slowly at cooler temperatures, maintaining fruit flavours and fresh acidity. This wine is pale rose in colour, with upfront aromas of watermelon and red fruit. Extra dry and medium-bodied, with melon and red fruit flavours. Serve chilled with tarragon chicken.",Rose Wine,https://aem.lcbo.com/content/dam/lcbo/products/6/2/2/1/622134.jpg.thumb.1280.1280.jpg,0.13," Rhône,   France ",2 g/L,Rosé,La Vieille Ferme,N/A,45.8802348,4.564533629559522,2.0
 Laurent Miquel Pere Et Fils Chardonnay d'Oc,16.00,14.00,4.8,(9),  750 ml bottle ,"Pale straw colour; floral, yellow pear, stony, herbal and melon aromas; extra dry, medium body, well balanced, with matching pear and melon flavours on the lingering finish.",White Wine,https://aem.lcbo.com/content/dam/lcbo/products/1/5/7/9/157909.jpg.thumb.1280.1280.jpg,0.13," South of France,   France ",2 g/L,Chardonnay,Larent Miquel,N/A,46.0,2.0,2.0
 Bonanza California Cabernet Sauvignon,27.95,24.95,4.5,(4),  750 ml bottle ,"This is a multi-vintage blend from Chuck Wagner, who is the mastermind behind the iconic Caymus Special Selection. Ripe, almost sweet fruit, spice, cassis, smoke and chocolate make this take on California as rewarding as it is unique. Pair with ribs in a spicy sauce.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/6/6/0/2/660241.jpg.thumb.1280.1280.jpg,0.138," California,   United States ",8 g/L,Cabernet Sauvignon,Bonanza,"  April 1, 2022  ",36.7014631,-118.755997,3.0
 Beringer Founders' Estate Cabernet Sauvignon,18.00,16.00,4.0,(8),  750 ml bottle ,"Made with fruit grown in Lodi and the California Delta, where the climate is ideal for ripening cabernet sauvignon. Extra dry and medium-bodied with supple texture and forward dark fruit, spice and chocolate flavours. The finish is long, with notes of vanilla, smoky oak and herbs. Pair with lamb sausages on spiced couscous.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/5/3/4/2/534263.jpg.thumb.1280.1280.jpg,0.138," California,   United States ",6 g/L,Cabernet Sauvignon,Beringer,N/A,36.7014631,-118.755997,2.0
 Ruffino Chianti,17.60,15.60,4.0,(8),  750 ml bottle ,"Ruffino's original wine, and one of the world's most recognized Tuscan wines. The wine is extra dry, medium-bodied and well-structured. Enjoy aromas and flavours of chestnut, leather, rye bread and red berry fruit, with spicy notes and a touch of pepper.  Serve with wild boar ragu, grilled steak or roasted vegetables.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/0/1/7/001743.jpg.thumb.1280.1280.jpg,0.13," Tuscany,   Italy ",2 g/L,Chianti,Ruffino Chianti,N/A,43.4586541,11.1389204,2.0000000000000018
 Wente Southern Hills Cabernet Sauvignon,21.20,18.20,4.8,(4),  750 ml bottle ,Medium ruby purple colour; extra dry and medium to full-bodied with upfront ripe berry fruit and hints of vanilla; medium tannins; long finish.,Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/3/0/1/5/301507.jpg.thumb.1280.1280.jpg,0.135,  United States ,6 g/L,Cabernet Sauvignon,Wente,N/A,39.7837304,-100.445882,3.0
 Bread & Butter Chardonnay,19.90,17.90,3.6,(37),  750 ml bottle ,"Based in California, Bread & Butter makes approachable wines. This memorable chardonnay opens with vanilla bean and almond notes, along with crisp minerality and a hint of tropical fruit. It's medium-bodied with a hint of oak leading to a long, buttery finish. Goes well with creamy pasta, roasted vegetables and seafood.",White Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/1/9/2/019261.jpg.thumb.1280.1280.jpg,0.135," California,   United States ",7 g/L,Chardonnay,Bread & Butter,N/A,36.7014631,-118.755997,2.0
 Joel Gott 815 Cabernet Sauvignon,25.95,22.95,4.2,(10),  750 ml bottle ,"The grapes for this cross-California Cabernet are sourced from prime sites in places such as Napa, Lake County, Monterey, Lodi, Paso Robles, Santa Ynez and Sonoma. Ripe and velvety with an alluring chocolate, smoky oak and prune fruit with herbal and cedar notes. A brilliant option for lamb burgers, slow-cooked red meats or a charcuterie platter.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/4/4/4/0/444059.jpg.thumb.1280.1280.jpg,0.139," California,   United States ",4 g/L,Cabernet Sauvignon,Joel Gott,"  April 1, 2021  ",36.7014631,-118.755997,3.0
 Oyster Bay Sauvignon Blanc,21.95,18.95,4.7,(73),  750 ml bottle ,"Popular Oyster Bay hails from the Marlborough region, ground zero for classic New Zealand Sauvignon Blanc. Expect notes of expressive citrus, yellow berries melange and fresh herbs with mineral notes. Pair with sea scallops pan-fried in butter with asparagus on the side.",White Wine,https://aem.lcbo.com/content/dam/lcbo/products/3/1/6/5/316570.jpg.thumb.1280.1280.jpg,0.125," Marlborough,   New Zealand ",5 g/L,Sauvignon Blanc,Oyster Bay,"  April 1, 2021  ",-36.7846223,174.723989,3.0
 Silk & Spice Red,15.85,13.85,4.4,(22),  750 ml bottle ,"Portugal's heritage of exploration is celebrated in this easy-drinking red blend. Deep ruby, with aromas of black plum and berry reduction and lifted honeyed and spicy notes. On the palate, Silk & Spice lives up to its name; soft, supple and approachable, dry, with plum, jammy and spicy flavours.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/5/3/3/3/533307.jpg.thumb.1280.1280.jpg,0.135,  Portugal ,17 g/L,Red Blend,Silk & Spice,N/A,39.6621648,-8.1353519,2.0
